Car_Name,Year,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner,Selling_Price
Kia Seltos,2015,31.54,60233,Petrol,Individual,Manual,0,5.36
Mahindra XUV500,2014,3.36,25011,Petrol,Dealer,Automatic,2,1.09
Toyota Innova,2019,3.05,53900,Diesel,Individual,Manual,0,1.47
Mahindra XUV500,2024,29.46,85085,Diesel,Dealer,Manual,1,15.9
Hyundai i20,2020,34.9,143032,Petrol,Dealer,Manual,0,5.25
Maruti Swift,2019,26.27,21583,Diesel,Dealer,Manual,0,15.1
Hyundai Creta,2017,3.49,135283,Petrol,Dealer,Automatic,0,0.5
Tata Nexon,2025,10.25,77532,Petrol,Dealer,Manual,1,6.03
Honda City,2014,34.1,19201,Diesel,Individual,Manual,1,10.06
Tata Nexon,2019,28.88,65019,Petrol,Dealer,Manual,0,12.87
Hyundai i20,2024,21.14,25420,Petrol,Dealer,Manual,0,16.95
Toyota Innova,2016,10.58,45602,Petrol,Dealer,Automatic,1,3.23
Toyota Innova,2016,3.46,105156,Diesel,Dealer,Manual,0,0.5
Toyota Innova,2023,3.67,54031,Petrol,Dealer,Manual,1,2.01
Kia Seltos,2020,22.58,17629,CNG,Dealer,Manual,0,12.89
Tata Nexon,2012,3.7,33675,Petrol,Individual,Manual,1,0.58
Hyundai Creta,2018,34.8,132652,Diesel,Individual,Manual,0,1.03
Honda City,2019,8.87,137734,Petrol,Individual,Automatic,0,0.55
Mahindra XUV500,2022,25.74,85270,Petrol,Dealer,Manual,1,10.59
Mahindra XUV500,2021,7.96,12589,Diesel,Individual,Automatic,0,5.12
Honda City,2014,20.28,113954,Petrol,Dealer,Manual,0,0.5
Mahindra XUV500,2019,5.58,9655,Petrol,Dealer,Automatic,0,2.79
Kia Seltos,2012,27.54,79285,Petrol,Dealer,Manual,0,0.5
Maruti Swift,2019,21.72,146869,Petrol,Dealer,Manual,0,1.78
Kia Seltos,2018,5.76,11645,Petrol,Individual,Automatic,2,2.22
Honda City,2015,30.15,122379,Diesel,Dealer,Manual,1,0.5
Honda City,2022,20.5,52634,Diesel,Dealer,Manual,0,12.57
Hyundai Creta,2018,32.49,41760,Petrol,Dealer,Automatic,1,11.76
Hyundai Creta,2021,32.33,33233,Petrol,Individual,Manual,0,24.8
Maruti Swift,2025,32.46,55091,Petrol,Individual,Manual,1,23.18
Tata Nexon,2022,5.49,140510,Petrol,Dealer,Automatic,0,0.8
Tata Nexon,2018,6.87,109602,Diesel,Individual,Automatic,1,1.04
Hyundai i20,2024,34.61,89905,Diesel,Individual,Automatic,1,15.9
Hyundai Creta,2021,18.6,97139,Petrol,Dealer,Manual,1,4.55
Tata Nexon,2024,10.62,16319,Petrol,Dealer,Manual,0,7.71
Toyota Innova,2023,27.63,85258,Diesel,Dealer,Manual,0,14.61
Hyundai Creta,2012,11.46,108293,Petrol,Dealer,Manual,0,0.5
Hyundai Creta,2014,26.27,142100,Petrol,Individual,Automatic,0,0.5
Toyota Innova,2018,29.79,116930,Diesel,Dealer,Manual,0,1.85
Hyundai Creta,2022,28.1,115629,Diesel,Dealer,Manual,1,6.11
Hyundai Creta,2024,11.77,30940,Petrol,Individual,Manual,1,8.05
Hyundai i20,2016,15.85,144494,Diesel,Dealer,Automatic,0,0.5
Honda City,2020,16.22,56651,Petrol,Dealer,Manual,0,4.75
Hyundai Creta,2018,18.72,25688,Diesel,Dealer,Automatic,1,8.3
Hyundai i20,2014,8.36,19472,Petrol,Dealer,Automatic,2,1.69
Maruti Swift,2012,17.48,85436,Diesel,Dealer,Automatic,0,1.0
Hyundai i20,2016,19.35,40671,Diesel,Individual,Automatic,0,9.85
Hyundai i20,2025,20.01,78299,Petrol,Dealer,Automatic,1,10.51
Kia Seltos,2024,29.24,15960,Diesel,Individual,Automatic,1,18.94
Toyota Innova,2021,19.55,127652,Diesel,Dealer,Manual,0,4.23
Maruti Swift,2024,10.39,129118,Petrol,Dealer,Manual,1,2.97
Kia Seltos,2016,24.22,138146,Diesel,Individual,Manual,1,0.5
Maruti Swift,2018,28.51,39833,CNG,Dealer,Manual,0,14.99
Hyundai i20,2025,13.22,40976,Diesel,Individual,Manual,1,9.89
Hyundai Creta,2012,23.65,112549,Petrol,Individual,Manual,0,0.5
Kia Seltos,2021,7.7,135120,Petrol,Dealer,Automatic,1,1.39
Kia Seltos,2013,13.94,70658,Petrol,Dealer,Manual,0,1.3
Maruti Swift,2022,32.1,55108,Petrol,Individual,Manual,0,17.95
Maruti Swift,2017,32.16,55138,Petrol,Individual,Automatic,1,5.98
Tata Nexon,2019,21.41,14443,Petrol,Dealer,Manual,1,12.76
Mahindra XUV500,2015,25.48,74969,Petrol,Dealer,Manual,3,0.93
Maruti Swift,2014,30.33,137062,Petrol,Dealer,Automatic,0,0.5
Kia Seltos,2014,33.67,128781,Petrol,Dealer,Manual,0,0.5
Honda City,2014,18.68,97198,Diesel,Individual,Manual,3,0.5
Maruti Swift,2013,20.97,66336,Diesel,Dealer,Manual,1,1.55
Toyota Innova,2012,16.3,34097,Petrol,Dealer,Manual,2,0.5
Tata Nexon,2016,5.3,56356,Petrol,Dealer,Automatic,0,1.68
Toyota Innova,2021,16.53,89744,Petrol,Dealer,Manual,0,4.92
Mahindra XUV500,2016,28.3,93015,Petrol,Dealer,Automatic,0,0.5
Toyota Innova,2016,28.76,148994,Petrol,Dealer,Manual,1,0.5
Honda City,2015,31.56,80919,Diesel,Dealer,Manual,2,0.5
Hyundai Creta,2014,4.65,108854,Petrol,Dealer,Automatic,0,0.5
Tata Nexon,2023,19.87,58034,CNG,Dealer,Automatic,0,12.83
Mahindra XUV500,2014,6.44,102431,Petrol,Dealer,Manual,0,0.69
Hyundai i20,2013,9.42,139279,Petrol,Individual,Manual,1,0.5
Kia Seltos,2016,31.81,33234,Diesel,Individual,Automatic,0,9.69
Kia Seltos,2015,18.9,35568,Diesel,Dealer,Manual,1,4.06
Maruti Swift,2017,27.27,73633,Diesel,Dealer,Manual,0,8.22
Kia Seltos,2013,5.06,122766,CNG,Individual,Automatic,0,0.5
Honda City,2013,16.34,114582,Petrol,Dealer,Manual,0,0.5
Kia Seltos,2019,24.58,59703,Diesel,Individual,Manual,1,10.72
Honda City,2017,7.27,122634,Petrol,Individual,Manual,0,0.5
Hyundai i20,2014,13.43,104928,Diesel,Dealer,Automatic,2,0.5
Hyundai Creta,2016,5.07,80253,Petrol,Dealer,Manual,1,0.5
Honda City,2014,23.84,121170,Petrol,Dealer,Automatic,0,0.5
Hyundai i20,2022,34.07,21642,Diesel,Dealer,Manual,0,22.89
Hyundai i20,2013,29.47,84176,Petrol,Individual,Manual,2,0.5
Hyundai i20,2014,34.19,87373,Petrol,Individual,Manual,0,2.69
Honda City,2012,30.06,13990,Petrol,Dealer,Manual,0,5.97
Mahindra XUV500,2025,30.37,9170,Diesel,Dealer,Manual,2,22.18
Hyundai i20,2018,21.47,141208,Diesel,Dealer,Manual,1,0.5
Hyundai Creta,2017,19.58,137784,Diesel,Dealer,Manual,0,1.36
Mahindra XUV500,2016,16.0,78687,Diesel,Dealer,Automatic,0,2.86
Honda City,2017,29.18,146545,Petrol,Individual,Manual,1,0.5
Hyundai Creta,2019,8.83,128376,Petrol,Dealer,Automatic,0,1.43
Tata Nexon,2014,4.8,90031,Petrol,Dealer,Manual,0,0.5
Hyundai Creta,2014,33.33,26625,Diesel,Dealer,Manual,0,8.04
Hyundai i20,2023,3.12,149833,Petrol,Dealer,Manual,0,0.51
Honda City,2016,34.26,79454,Petrol,Dealer,Manual,2,1.91
Honda City,2016,26.32,6821,Petrol,Dealer,Manual,1,14.3
Mahindra XUV500,2025,13.51,105120,Diesel,Dealer,Manual,1,6.35
Honda City,2022,25.33,41200,Petrol,Individual,Manual,2,13.88
Maruti Swift,2012,29.17,88889,Diesel,Dealer,Manual,0,0.5
Mahindra XUV500,2015,10.85,89304,Diesel,Dealer,Automatic,0,0.5
Mahindra XUV500,2020,27.67,41447,Diesel,Individual,Automatic,1,16.2
Maruti Swift,2019,28.74,96568,CNG,Individual,Manual,0,7.83
Hyundai i20,2014,10.98,111502,Petrol,Dealer,Automatic,0,0.5
Kia Seltos,2016,4.34,109567,Diesel,Dealer,Manual,0,0.5
Tata Nexon,2016,9.53,22757,Diesel,Individual,Automatic,0,4.3
Kia Seltos,2018,9.42,112136,Diesel,Dealer,Manual,0,1.08
Hyundai i20,2019,5.09,148026,Diesel,Dealer,Manual,0,0.5
Toyota Innova,2020,26.23,97342,Petrol,Dealer,Manual,0,5.99
Toyota Innova,2018,15.16,93760,Diesel,Dealer,Manual,0,2.03
Hyundai Creta,2013,31.3,139883,Petrol,Dealer,Manual,0,0.5
Tata Nexon,2019,11.07,144709,CNG,Dealer,Manual,0,0.61
Mahindra XUV500,2019,17.5,17133,Diesel,Individual,Manual,3,7.32
Tata Nexon,2022,23.45,51986,Diesel,Individual,Manual,2,11.66
Tata Nexon,2024,31.08,60508,Diesel,Individual,Automatic,1,20.93
Maruti Swift,2025,19.79,6401,Petrol,Dealer,Manual,3,14.78
Maruti Swift,2013,14.95,146076,Petrol,Dealer,Automatic,3,0.5
Toyota Innova,2024,30.74,105313,Diesel,Individual,Manual,0,12.89
Tata Nexon,2017,12.93,141973,Petrol,Dealer,Manual,0,0.57
Hyundai Creta,2024,5.54,74621,Petrol,Dealer,Manual,2,2.61
Honda City,2021,17.24,124673,Diesel,Dealer,Automatic,1,4.71
Kia Seltos,2012,28.12,131545,Petrol,Dealer,Manual,0,0.5
Toyota Innova,2022,3.98,86299,Diesel,Dealer,Manual,1,1.07
Tata Nexon,2018,21.75,63171,Petrol,Dealer,Manual,0,7.37
Honda City,2021,22.02,15354,Diesel,Individual,Manual,0,14.89
Tata Nexon,2013,32.71,63860,Diesel,Dealer,Manual,0,5.54
Mahindra XUV500,2016,12.17,14504,Petrol,Individual,Manual,0,6.65
Hyundai i20,2025,11.92,139595,Petrol,Individual,Automatic,0,4.72
Honda City,2018,17.1,79243,Petrol,Dealer,Automatic,2,3.67
Mahindra XUV500,2021,14.42,133890,CNG,Individual,Automatic,0,3.24
Kia Seltos,2022,26.56,91703,Petrol,Individual,Manual,0,10.31
Hyundai i20,2020,23.54,96407,Petrol,Dealer,Manual,0,4.75
Mahindra XUV500,2025,27.29,28982,Diesel,Dealer,Manual,1,20.37
Maruti Swift,2012,29.24,6049,Petrol,Dealer,Automatic,3,5.64
Toyota Innova,2020,32.54,18381,CNG,Dealer,Manual,0,17.22
Tata Nexon,2022,16.79,53390,Diesel,Dealer,Manual,0,10.6
Toyota Innova,2016,34.51,17061,Petrol,Dealer,Automatic,0,16.81
Kia Seltos,2017,9.9,76241,Diesel,Dealer,Manual,1,1.12
Tata Nexon,2025,25.86,55296,Petrol,Dealer,Manual,0,19.67
Hyundai i20,2019,20.09,69535,Diesel,Dealer,Manual,0,6.7
Honda City,2022,29.14,104009,Diesel,Dealer,Manual,0,8.81
Honda City,2025,18.26,70191,Petrol,Individual,Automatic,0,12.49
Tata Nexon,2013,28.09,56576,Petrol,Dealer,Manual,2,1.42
Hyundai i20,2023,32.77,33147,CNG,Individual,Manual,0,25.93
Tata Nexon,2018,26.43,121622,Petrol,Dealer,Manual,0,1.25
Tata Nexon,2023,27.84,73020,Diesel,Dealer,Manual,1,10.41
Hyundai Creta,2015,5.15,137817,Petrol,Dealer,Manual,1,0.5
Mahindra XUV500,2020,9.56,46929,Petrol,Dealer,Manual,0,5.11
Tata Nexon,2017,34.18,67637,Diesel,Individual,Manual,3,3.21
Honda City,2018,25.18,135860,Petrol,Dealer,Manual,1,0.5
Hyundai Creta,2022,20.97,71313,Diesel,Dealer,Automatic,0,10.35
Kia Seltos,2017,14.74,14525,Petrol,Dealer,Manual,0,5.81
Tata Nexon,2022,4.42,134228,Petrol,Dealer,Automatic,0,1.09
Honda City,2019,14.81,48348,CNG,Individual,Manual,0,6.16
Maruti Swift,2017,18.97,65447,Diesel,Dealer,Manual,0,5.84
Hyundai i20,2018,9.77,115709,CNG,Individual,Automatic,1,0.5
Maruti Swift,2019,8.54,91030,CNG,Dealer,Manual,1,2.59
Tata Nexon,2012,19.27,138113,CNG,Dealer,Manual,0,0.5
Honda City,2021,21.75,84866,Diesel,Dealer,Manual,0,9.27
Hyundai i20,2023,10.68,56826,Petrol,Dealer,Manual,0,6.84
Toyota Innova,2015,21.8,110808,CNG,Individual,Manual,1,0.5
Hyundai i20,2017,31.81,132749,Petrol,Dealer,Manual,1,0.7
Hyundai i20,2012,18.14,100822,Petrol,Dealer,Manual,0,0.5
Hyundai Creta,2015,30.44,33028,Petrol,Individual,Manual,1,5.96
Tata Nexon,2017,32.67,37887,Petrol,Dealer,Automatic,0,16.54
Mahindra XUV500,2018,5.96,70045,Diesel,Dealer,Manual,1,1.98
Maruti Swift,2024,6.07,109136,Petrol,Dealer,Manual,0,3.3
Maruti Swift,2017,18.23,32428,Petrol,Dealer,Manual,0,7.07
Hyundai Creta,2022,21.82,137685,Petrol,Dealer,Manual,0,4.81
Toyota Innova,2015,16.63,53343,Petrol,Dealer,Manual,2,3.13
Tata Nexon,2023,13.45,78159,Diesel,Individual,Manual,1,6.14
Hyundai i20,2024,23.51,106337,Petrol,Dealer,Manual,2,7.17
Mahindra XUV500,2018,3.07,57088,Petrol,Individual,Automatic,0,0.93
Kia Seltos,2021,33.98,34653,Petrol,Dealer,Automatic,0,20.19
Maruti Swift,2025,10.43,82512,Petrol,Dealer,Manual,0,5.28
Maruti Swift,2013,32.35,114122,Diesel,Individual,Automatic,1,0.5
Honda City,2017,6.49,20718,Petrol,Individual,Manual,1,2.86
Hyundai i20,2016,10.62,79877,Petrol,Dealer,Manual,1,1.38
Tata Nexon,2013,10.52,59219,Petrol,Dealer,Automatic,1,1.47
Maruti Swift,2020,34.88,118500,Petrol,Individual,Manual,1,4.73
Hyundai Creta,2024,3.15,31285,CNG,Individual,Manual,2,1.94
Mahindra XUV500,2018,23.47,57310,Petrol,Individual,Manual,0,8.95
Hyundai Creta,2025,30.83,129246,Diesel,Dealer,Automatic,1,9.07
Hyundai Creta,2014,24.51,115545,Diesel,Dealer,Manual,2,0.5
Hyundai Creta,2018,14.61,99873,Petrol,Dealer,Manual,0,2.17
Tata Nexon,2022,33.67,136527,CNG,Individual,Manual,1,5.6
Hyundai i20,2022,31.59,78179,Diesel,Dealer,Manual,0,17.65
Hyundai Creta,2017,16.89,132185,Diesel,Dealer,Manual,0,0.5
Hyundai i20,2018,21.35,13867,Petrol,Individual,Automatic,1,12.11
Maruti Swift,2015,33.96,30577,Diesel,Dealer,Manual,0,12.63
Toyota Innova,2024,34.44,96007,Petrol,Individual,Manual,0,19.46
Tata Nexon,2024,17.39,149959,Petrol,Dealer,Automatic,2,6.32
Hyundai Creta,2021,30.12,48314,Diesel,Dealer,Manual,0,18.45
Hyundai Creta,2024,12.66,5059,Diesel,Dealer,Manual,0,11.27
Tata Nexon,2019,14.9,148745,Petrol,Dealer,Manual,1,0.5
Honda City,2019,8.27,93231,Diesel,Dealer,Automatic,0,1.54
Mahindra XUV500,2018,9.69,126696,Diesel,Dealer,Manual,0,0.97
Hyundai i20,2024,24.02,6794,Petrol,Dealer,Manual,0,17.44
Hyundai i20,2018,19.35,131142,Petrol,Individual,Manual,0,1.88
Maruti Swift,2021,10.4,15721,Petrol,Dealer,Manual,0,5.5
Maruti Swift,2024,15.89,10686,Diesel,Dealer,Manual,2,12.73
Maruti Swift,2024,14.94,100003,Diesel,Dealer,Manual,0,6.51
Honda City,2019,34.6,67722,Petrol,Dealer,Manual,0,12.69
Mahindra XUV500,2012,30.31,148960,Diesel,Individual,Manual,3,0.5
Hyundai Creta,2017,15.41,44348,Diesel,Dealer,Manual,1,3.22
Toyota Innova,2013,32.25,18533,Diesel,Dealer,Manual,0,11.61
Maruti Swift,2012,13.96,66422,Petrol,Individual,Automatic,0,1.81
Maruti Swift,2023,24.37,139625,Petrol,Dealer,Automatic,1,4.64
Kia Seltos,2021,33.93,123360,Diesel,Dealer,Manual,1,7.68
Mahindra XUV500,2018,15.49,13144,Petrol,Individual,Manual,1,7.26
Maruti Swift,2017,24.76,112578,Petrol,Individual,Manual,0,2.65
Honda City,2016,12.47,96045,Diesel,Dealer,Manual,0,1.95
Tata Nexon,2016,11.52,141509,Petrol,Dealer,Manual,0,0.5
Toyota Innova,2020,21.37,95083,Diesel,Individual,Manual,1,7.16
Tata Nexon,2020,34.34,28830,Petrol,Dealer,Automatic,1,18.91
Hyundai Creta,2023,17.5,115581,Petrol,Individual,Automatic,0,6.11
Kia Seltos,2023,33.0,79285,Petrol,Individual,Manual,0,14.76
Hyundai i20,2017,32.26,51553,Petrol,Individual,Manual,2,7.26
Hyundai i20,2024,11.12,141987,Petrol,Dealer,Manual,0,3.73
Maruti Swift,2014,15.86,33695,Diesel,Dealer,Manual,0,2.86
Kia Seltos,2018,23.59,19703,Petrol,Dealer,Automatic,1,12.56
Tata Nexon,2015,19.58,72918,CNG,Dealer,Manual,0,2.77
Honda City,2016,6.07,35128,Petrol,Individual,Manual,0,1.85
Toyota Innova,2018,34.8,58250,Petrol,Dealer,Automatic,0,9.96
Mahindra XUV500,2023,27.08,112777,Petrol,Dealer,Manual,1,9.73
Tata Nexon,2018,17.01,42126,Diesel,Individual,Manual,0,7.07
Kia Seltos,2021,22.78,111616,Petrol,Dealer,Manual,2,6.58
Hyundai Creta,2019,5.8,51799,Petrol,Dealer,Automatic,0,2.01
Kia Seltos,2012,18.85,37907,Diesel,Dealer,Manual,1,1.67
Mahindra XUV500,2016,32.79,12644,Petrol,Dealer,Manual,0,14.39
Tata Nexon,2023,31.69,39583,Petrol,Individual,Manual,0,19.22
Hyundai Creta,2020,13.8,59560,Petrol,Individual,Automatic,1,5.48
Toyota Innova,2018,20.0,115634,Diesel,Dealer,Manual,0,2.83
Tata Nexon,2022,25.32,110589,Petrol,Dealer,Manual,1,7.89
Tata Nexon,2023,13.88,46988,Diesel,Individual,Automatic,0,9.89
Toyota Innova,2024,5.08,146518,Diesel,Individual,Automatic,0,0.97
Honda City,2013,19.17,28162,Diesel,Dealer,Automatic,0,5.13
Mahindra XUV500,2012,22.25,100373,Petrol,Individual,Manual,1,0.5
Kia Seltos,2019,3.19,41003,CNG,Dealer,Automatic,0,1.57
Toyota Innova,2020,6.06,56746,Petrol,Dealer,Manual,2,2.39
Maruti Swift,2021,9.63,71923,Diesel,Individual,Manual,0,3.59
Maruti Swift,2016,14.14,137055,Petrol,Dealer,Manual,0,0.5
Maruti Swift,2025,20.31,132310,Diesel,Dealer,Manual,0,8.15
Maruti Swift,2022,12.4,52114,Petrol,Dealer,Manual,0,6.92
Hyundai Creta,2017,11.84,102687,Petrol,Dealer,Manual,0,1.37
Mahindra XUV500,2013,30.82,56274,Diesel,Dealer,Automatic,1,4.14
Hyundai i20,2022,7.64,24378,Petrol,Dealer,Manual,0,5.44
Honda City,2016,18.85,12548,Petrol,Dealer,Manual,0,7.79
Hyundai i20,2023,33.49,44621,Diesel,Dealer,Manual,2,16.76
Tata Nexon,2015,23.0,91901,Diesel,Individual,Automatic,0,0.5
Tata Nexon,2019,25.95,120423,Petrol,Dealer,Manual,0,3.9
Toyota Innova,2019,16.8,94673,Petrol,Individual,Manual,0,2.79
Maruti Swift,2025,3.64,22870,CNG,Dealer,Manual,0,2.96
Hyundai Creta,2016,23.68,50738,Diesel,Individual,Automatic,0,8.64
Hyundai Creta,2022,23.22,72537,Petrol,Individual,Manual,0,10.53
Toyota Innova,2019,6.53,62707,Diesel,Dealer,Manual,0,2.27
Tata Nexon,2017,17.79,146118,Petrol,Dealer,Manual,1,0.63
Maruti Swift,2021,32.29,60029,Petrol,Individual,Automatic,1,17.13
Mahindra XUV500,2017,9.56,41956,Petrol,Dealer,Manual,1,2.74
Kia Seltos,2024,17.76,18886,Petrol,Dealer,Manual,0,13.99
Honda City,2024,17.76,91281,Diesel,Dealer,Manual,0,9.05
Tata Nexon,2015,28.94,109653,Petrol,Dealer,Automatic,0,0.68
Kia Seltos,2021,29.39,149394,Petrol,Individual,Manual,0,6.8
Toyota Innova,2023,27.3,116705,Diesel,Individual,Manual,0,9.51
Kia Seltos,2022,14.69,120431,Petrol,Dealer,Manual,0,4.37
Toyota Innova,2014,5.31,11162,Diesel,Dealer,Manual,0,2.13
Tata Nexon,2020,14.18,119227,Petrol,Dealer,Manual,1,3.25
Hyundai i20,2016,24.75,87293,Diesel,Dealer,Manual,0,5.0
Hyundai Creta,2021,25.49,141977,Petrol,Individual,Automatic,3,1.64
Mahindra XUV500,2021,33.88,123815,Petrol,Individual,Manual,1,3.09
Mahindra XUV500,2015,17.52,131614,Diesel,Dealer,Automatic,0,0.5
Hyundai Creta,2017,23.24,115580,Diesel,Dealer,Manual,0,2.95
Honda City,2025,20.25,62483,Diesel,Dealer,Automatic,1,12.66
Mahindra XUV500,2015,7.82,43457,Diesel,Individual,Manual,1,2.23
Kia Seltos,2017,17.76,89940,Petrol,Dealer,Manual,0,5.21
Mahindra XUV500,2021,20.43,24676,Petrol,Dealer,Manual,0,11.25
Kia Seltos,2019,33.42,93796,Diesel,Individual,Manual,0,10.8
Tata Nexon,2019,14.73,77433,Diesel,Individual,Manual,0,4.43
Mahindra XUV500,2023,34.36,125026,Diesel,Individual,Manual,2,9.83
Tata Nexon,2017,20.35,137636,Diesel,Dealer,Manual,0,0.5
Mahindra XUV500,2012,10.76,149942,Petrol,Dealer,Manual,0,0.5
Hyundai Creta,2024,9.13,19219,Petrol,Dealer,Manual,0,7.18
Toyota Innova,2012,7.53,125082,Petrol,Individual,Manual,1,0.5
Maruti Swift,2025,17.49,146451,CNG,Individual,Manual,1,5.24
Maruti Swift,2014,3.7,7948,Diesel,Individual,Manual,1,1.3
Maruti Swift,2013,17.24,40902,Diesel,Dealer,Manual,1,3.87
Toyota Innova,2012,34.63,13969,Petrol,Individual,Manual,1,8.52
Maruti Swift,2012,24.44,67805,Petrol,Dealer,Manual,1,3.72
Hyundai Creta,2023,27.31,25646,Diesel,Dealer,Automatic,0,19.14
Tata Nexon,2023,6.81,60818,Diesel,Dealer,Manual,0,3.82
Hyundai i20,2023,18.14,8678,Petrol,Individual,Manual,1,12.68
Hyundai i20,2017,12.16,98055,Diesel,Dealer,Manual,0,1.86
Mahindra XUV500,2018,31.61,120686,Petrol,Individual,Automatic,1,2.41
Hyundai i20,2019,8.8,128439,Petrol,Individual,Manual,0,1.17
Maruti Swift,2014,17.68,135395,Diesel,Dealer,Manual,1,0.5
Hyundai i20,2012,21.82,123189,Diesel,Individual,Manual,0,0.5
Kia Seltos,2016,19.45,9014,Diesel,Dealer,Manual,0,7.9
Maruti Swift,2019,29.57,141179,Petrol,Dealer,Manual,1,0.5
Kia Seltos,2023,10.41,107632,Petrol,Dealer,Manual,0,4.66
Tata Nexon,2022,15.08,42423,Petrol,Individual,Automatic,1,9.6
Kia Seltos,2025,28.35,125015,Petrol,Dealer,Manual,0,11.21
Tata Nexon,2022,19.9,127308,Petrol,Individual,Manual,3,1.58
Toyota Innova,2015,15.87,108924,Petrol,Individual,Manual,1,0.5
Toyota Innova,2013,3.94,112416,Petrol,Dealer,Manual,0,0.5
Mahindra XUV500,2020,27.11,37332,Petrol,Dealer,Manual,1,14.79
Kia Seltos,2023,34.11,110308,Diesel,Individual,Automatic,0,13.71
Honda City,2024,22.85,93935,Diesel,Dealer,Manual,0,12.27
Tata Nexon,2020,30.41,7661,Diesel,Individual,Manual,1,21.19
Hyundai Creta,2014,19.54,140870,Petrol,Individual,Manual,1,0.5
Maruti Swift,2018,10.41,30850,Petrol,Dealer,Manual,0,4.56
Honda City,2024,3.46,139229,Petrol,Individual,Manual,0,0.92
Tata Nexon,2012,23.91,42485,Petrol,Dealer,Manual,1,3.35
Maruti Swift,2019,18.78,141408,Petrol,Individual,Automatic,0,1.39
Tata Nexon,2019,28.03,121931,Petrol,Dealer,Manual,1,4.14
Tata Nexon,2024,25.23,47280,Diesel,Individual,Manual,1,15.02
Hyundai Creta,2014,34.61,121779,CNG,Dealer,Manual,0,0.5
Maruti Swift,2023,19.33,118032,Petrol,Individual,Automatic,0,6.45
Tata Nexon,2016,16.67,84290,Diesel,Dealer,Automatic,0,3.33
Hyundai Creta,2015,12.18,10209,Petrol,Dealer,Manual,2,4.88
Tata Nexon,2018,18.26,66402,Diesel,Dealer,Automatic,1,6.32
Tata Nexon,2022,30.93,12645,Diesel,Individual,Manual,1,21.53
Mahindra XUV500,2018,4.36,43508,CNG,Dealer,Manual,0,2.01
Toyota Innova,2022,34.29,107458,Petrol,Individual,Automatic,1,13.7
Hyundai i20,2019,34.79,62822,Petrol,Individual,Automatic,0,14.25
Tata Nexon,2016,22.13,105969,Petrol,Individual,Automatic,1,0.5
Mahindra XUV500,2024,13.61,142090,Petrol,Dealer,Automatic,0,4.38
Hyundai Creta,2022,10.14,141785,CNG,Individual,Automatic,1,1.58
Maruti Swift,2016,11.85,116375,Diesel,Dealer,Manual,1,0.5
Kia Seltos,2019,4.6,100608,Diesel,Individual,Manual,0,1.17
Tata Nexon,2016,18.2,101856,Petrol,Individual,Manual,1,0.99
Mahindra XUV500,2024,4.83,118631,Diesel,Dealer,Automatic,0,2.17
Toyota Innova,2025,25.99,6026,Petrol,Dealer,Manual,0,21.59
Mahindra XUV500,2024,14.9,75009,Petrol,Dealer,Manual,0,6.92
Toyota Innova,2012,9.38,96676,Diesel,Dealer,Automatic,1,0.5
Kia Seltos,2022,20.44,87506,Petrol,Individual,Automatic,1,8.13
Tata Nexon,2014,34.16,99564,Petrol,Dealer,Manual,1,0.5
Honda City,2013,25.24,38452,Petrol,Individual,Manual,1,4.23
Kia Seltos,2023,18.74,8268,Diesel,Dealer,Manual,0,13.36
Hyundai i20,2021,27.86,85729,Diesel,Individual,Manual,0,10.27
Maruti Swift,2016,26.6,98602,Petrol,Individual,Manual,0,2.12
Mahindra XUV500,2024,31.54,136730,Diesel,Individual,Automatic,1,10.49
Maruti Swift,2019,9.55,39064,Diesel,Dealer,Manual,2,3.98
Maruti Swift,2020,30.48,48042,CNG,Dealer,Manual,0,14.21
Hyundai Creta,2020,12.63,110454,Diesel,Dealer,Manual,1,3.75
Hyundai Creta,2012,33.11,143864,Diesel,Dealer,Manual,1,0.5
Maruti Swift,2012,11.99,142676,Diesel,Dealer,Manual,0,0.5
Toyota Innova,2012,32.66,43557,Petrol,Individual,Manual,0,4.27
Mahindra XUV500,2012,33.84,12420,Petrol,Dealer,Automatic,1,10.94
Hyundai Creta,2020,7.66,28018,Petrol,Dealer,Manual,0,4.35
Hyundai i20,2012,34.18,130200,Petrol,Dealer,Automatic,2,0.5
Tata Nexon,2018,5.74,68076,Petrol,Dealer,Manual,0,1.75
Tata Nexon,2017,9.99,10108,Petrol,Dealer,Manual,0,5.11
Honda City,2020,17.21,97686,Petrol,Individual,Manual,0,6.13
Tata Nexon,2022,34.8,75783,Petrol,Dealer,Manual,1,16.45
Hyundai Creta,2020,18.63,78937,Petrol,Individual,Manual,0,6.72
Hyundai i20,2015,20.61,146069,Diesel,Dealer,Manual,1,0.5
Tata Nexon,2020,25.22,10261,Diesel,Individual,Manual,0,17.31
Toyota Innova,2025,33.99,76520,Petrol,Dealer,Manual,0,19.29
Kia Seltos,2024,28.07,25926,Petrol,Individual,Manual,1,17.64
Tata Nexon,2025,10.17,137249,Petrol,Dealer,Manual,0,3.32
Maruti Swift,2017,12.7,65952,Petrol,Dealer,Manual,1,3.31
Maruti Swift,2016,6.12,145240,Petrol,Dealer,Manual,0,0.5
Kia Seltos,2020,23.62,122180,Diesel,Individual,Manual,1,5.38
Maruti Swift,2018,8.78,138461,Petrol,Individual,Manual,1,0.5
